HOLE:	984B
LEG:	162
TOP:	78.790802
BOTTOM:	500.024414

DEPTH	TENS	CS	ETIM
140.2080	2413.5618	559.7888	2330.4956
140.3604	2378.9199	560.1122	2329.5237
140.5128	2333.7236	559.3799	2328.5420
140.6652	2307.2200	559.3375	2327.5730
140.8176	2153.5435	558.2391	2326.5837
140.9700	2266.7024	558.6571	2325.6001
141.1224	2379.3245	558.7369	2324.6252
141.2748	2369.3562	558.0950	2323.6531
141.4272	2399.1729	557.0676	2322.6711
141.5796	2370.8613	556.7656	2321.7053
141.7320	2320.3960	555.1138	2320.7095
141.8844	2377.4194	555.6533	2319.7173
142.0368	2476.7678	555.8619	2318.7297
142.1892	2437.7844	555.7648	2317.7241
142.3416	2475.8984	557.1000	2316.7312
142.4940	2418.6472	557.5948	2315.7480
142.6464	2371.3320	557.4411	2314.7634
142.7988	2316.5156	557.3354	2313.7795
142.9512	2089.8093	557.1129	2312.7954
143.1036	2270.5652	556.9479	2311.8091
143.2560	2482.6672	556.9995	2310.8279
143.4084	2387.4180	556.6413	2309.8386
143.5608	2402.2751	556.8856	2308.8667
143.7132	2326.9080	555.7426	2307.8862
143.8656	2237.0686	555.0173	2306.8787
144.0180	2234.9268	556.3537	2305.8865
144.1704	2014.6549	556.7029	2304.8809
144.3228	2250.4844	558.1444	2303.8845
144.4752	2489.6985	559.0502	2302.9092
144.6276	2438.3557	558.3265	2301.9368
144.7800	2543.8818	557.3585	2300.9490
144.9324	2454.1660	557.4763	2299.9663
145.0848	2438.1985	557.2390	2298.9814
145.2372	2389.7405	557.1581	2297.9976
145.3896	2249.2134	556.9440	2297.0127
145.5420	2356.2053	556.8553	2296.0281
145.6944	2441.3762	556.7234	2295.0454
145.8468	2419.3433	556.3850	2294.0608
145.9992	2458.3867	556.1247	2293.0845
146.1516	2391.4841	555.1224	2292.1038
146.3040	2332.3318	554.4846	2291.1006
146.4564	2347.0356	555.4053	2290.1069
146.6088	2311.9329	555.7036	2289.1270
146.7612	2346.9775	554.9507	2288.1331
146.9136	2357.8887	555.2400	2287.1382
147.0660	2367.7532	555.7013	2286.1560
147.2184	2393.8960	555.1445	2285.1694
147.3708	2382.3352	554.9028	2284.1877
147.5232	2374.4043	554.2231	2283.2014
147.6756	2383.1804	553.8232	2282.2217
147.8280	2375.9514	552.9324	2281.2302
147.9804	2398.4719	552.6531	2280.2258
148.1328	2434.1284	553.4738	2279.2280
148.2852	2422.5840	553.8755	2278.2219
148.4376	2455.8672	554.9147	2277.2324
148.5900	2401.8281	554.8585	2276.2444
148.7424	2354.0569	554.6590	2275.2385
148.8948	2364.3687	555.7637	2274.2446
149.0472	2359.3569	556.0373	2273.2625
149.1996	2351.1062	555.4236	2272.2671
149.3520	2342.3853	555.9544	2271.2737
149.5044	2319.6162	556.3815	2270.2893
149.6568	2303.0176	556.1373	2269.3123
149.8092	2293.9124	555.1567	2268.3435
149.9616	2326.7556	553.4503	2267.3469
150.1140	2339.3171	553.6820	2266.3423
150.2664	2389.8340	554.6460	2265.3499
150.4188	2481.6738	554.7149	2264.3650
150.5712	2435.8508	554.2277	2263.3845
150.7236	2438.5269	553.3882	2262.3909
150.8760	2409.8015	553.4317	2261.3950
151.0284	2383.5557	553.6345	2260.4133
151.1808	2418.1323	552.7849	2259.4294
151.3332	2449.2200	551.8801	2258.4365
151.4856	2403.2461	551.7158	2257.4382
151.6380	2360.0950	551.9602	2256.4355
151.7904	2403.7971	552.4401	2255.4382
151.9428	2465.0271	552.5256	2254.4524
152.0952	2368.4133	551.7576	2253.4363
