HOLE:	984B
LEG:	162
TOP:	98.145599
BOTTOM:	502.462799

DEPTH	TENS	CS	ETIM
169.7736	2636.1392	460.7050	2785.1707
169.9260	2625.0037	458.7023	2784.0095
170.0784	2654.2585	456.3996	2782.8533
170.2308	2724.2151	453.5324	2781.7068
170.3832	2694.9995	449.7176	2780.5505
170.5356	2690.8269	445.8029	2779.3855
170.6880	2679.9976	441.8834	2778.1960
170.8404	2659.8025	438.7449	2777.0037
170.9928	2577.8655	435.4088	2775.7966
171.1452	2499.9973	432.4467	2774.5632
171.2976	2478.9373	430.2997	2773.3110
171.4500	2477.3882	319.1108	2769.9915
171.6024	2584.9995	197.8502	2764.1238
171.7548	2581.8508	484.7409	2762.9871
171.9072	2575.0042	484.7364	2761.8611
172.0596	2609.0129	484.0638	2760.7507
172.2120	2714.3879	482.2696	2759.6404
172.3644	2784.9932	480.3265	2758.5154
172.5168	2729.6116	478.8764	2757.3826
172.6692	2620.0007	477.8917	2756.2292
172.8216	2626.8923	477.8230	2755.0730
172.9740	2640.0046	478.0190	2753.9167
173.1264	2677.1301	478.2330	2752.7654
173.2788	2719.9321	478.2014	2751.6189
173.4312	2674.9980	477.8210	2750.4675
173.5836	2658.4966	477.7404	2749.3113
173.7360	2630.0054	477.8839	2748.1609
173.8884	2673.2588	477.6799	2747.0164
174.0408	2744.9958	477.2034	2745.8601
174.1932	2710.3625	477.2213	2744.7058
174.3456	2608.2410	477.2534	2743.5496
174.4980	2535.0059	477.2966	2742.3923
174.6504	2582.8838	477.4809	2741.2341
174.8028	2655.0039	477.6492	2740.0896
174.9552	2687.5684	477.1739	2738.9460
175.1076	2734.9946	476.5131	2737.7917
175.2600	2691.3696	476.3914	2736.6296
175.4124	2646.8154	476.6185	2735.4744
175.5648	2670.0054	476.6019	2734.3083
175.7172	2713.0071	477.1978	2733.1375
175.8696	2769.9971	478.0752	2731.9861
176.0220	2745.8713	478.0438	2730.8220
176.1744	2714.9956	478.5831	2729.6658
176.3268	2679.1860	479.0126	2728.5085
176.4792	2666.5671	479.2906	2727.3552
176.6316	2705.0012	479.6487	2726.1970
176.7840	2714.2043	480.0657	2725.0496
176.9364	2724.9954	480.0475	2723.9001
177.0888	2687.4949	480.1381	2722.7400
177.2412	2644.9995	480.9756	2721.5857
177.3936	2640.2278	481.3080	2720.4451
177.5460	2649.4707	481.1113	2719.3064
177.6984	2665.0049	480.7029	2718.1726
177.8508	2704.3174	480.0225	2717.0310
178.0032	2744.9927	479.6129	2715.8894
178.1556	2684.9927	479.2241	2714.7498
178.3080	2625.0024	478.5806	2713.5994
178.4604	2645.3511	478.3351	2712.4548
178.6128	2706.1296	478.0347	2711.3044
178.7652	2744.9988	477.8270	2710.1511
178.9176	2734.5457	477.9072	2708.9998
179.0700	2724.9932	477.7430	2707.8542
179.2224	2669.2439	477.3620	2706.7019
179.3748	2620.0068	477.1413	2705.5554
179.5272	2676.7549	476.6560	2704.4041
179.6796	2716.8430	476.3471	2703.2429
179.8320	2709.9976	476.6111	2702.0828
179.9844	2690.6543	476.8831	2700.9246
180.1368	2675.0024	477.0333	2699.7751
180.2892	2694.6582	476.7012	2698.6267
180.4416	2709.9978	476.1851	2697.4773
180.5940	2692.8721	475.7791	2696.3171
180.7464	2668.4990	475.7108	2695.1609
180.8988	2660.0083	475.6772	2694.0115
181.0512	2727.1309	475.0915	2692.8552
181.2036	2774.9963	474.9300	2691.6804
181.3560	2745.3726	475.7096	2690.5105
181.5084	2724.9988	476.5061	2689.3406
181.6608	2715.9678	477.2991	2688.1716
181.8132	2706.9685	478.1235	2687.0076
181.9656	2705.0027	478.7379	2685.8513
182.1180	2726.5330	479.1024	2684.7048
182.2704	2739.9856	478.8354	2683.5623
182.4228	2621.4912	478.3329	2682.4216
182.5752	2550.0093	477.6430	2681.2693
182.7276	2626.0042	477.5784	2680.1189
182.8800	2660.4524	477.3995	2678.9666
183.0324	2654.9988	477.2283	2677.8230
183.1848	2645.2961	476.6083	2676.6687
183.3372	2639.9929	476.4202	2675.5085
183.4896	2580.9963	476.6813	2674.3464
183.6420	2550.0117	476.9602	2673.1902
183.7944	2646.2683	477.0935	2672.0261
183.9468	2795.2561	477.5663	2670.8640
184.0992	2844.9893	478.1181	2669.7166
184.2516	2756.9949	477.7216	2668.5671
184.4040	2714.9963	477.4726	2667.4207
184.5564	2684.1233	477.0685	2666.2742
184.7088	2670.0063	476.6336	2665.1218
184.8612	2722.0645	476.2621	2663.9783
185.0136	2738.0073	475.5934	2662.8250
185.1660	2734.9915	475.1822	2661.6804
185.3184	2664.2463	474.2092	2660.5281
185.4708	2634.9990	473.6952	2659.3630
185.6232	2627.8401	473.7702	2658.1882
185.7756	2726.0049	474.4713	2657.0183
185.9280	2764.9915	474.9669	2655.8474
186.0804	2695.6218	475.5536	2654.6804
186.2328	2669.9941	476.0899	2653.5183
186.3852	2621.9355	476.3673	2652.3552
186.5376	2605.0083	476.6132	2651.1921
186.6900	2672.3828	477.1419	2650.0212
186.8424	2736.3767	478.0895	2648.8689
186.9948	2750.0017	477.9895	2647.7214
187.1472	2700.5605	477.7115	2646.5681
187.2996	2685.0032	477.7465	2645.4236
187.4520	2711.9385	477.0858	2644.2732
187.6044	2720.0044	476.8123	2643.1306
187.7568	2754.9998	476.0594	2641.9919
187.9092	2753.2495	474.9843	2640.8337
188.0616	2750.0005	474.7836	2639.6814
188.2140	2753.9612	474.2765	2638.5339
188.3664	2754.9946	473.5211	2637.3611
188.5188	2710.9363	473.9402	2636.2019
188.6712	2699.9922	473.7624	2635.0486
188.8236	2635.2571	473.1240	2633.8904
188.9760	2693.2520	472.8291	2632.7205
189.1284	2710.0010	473.0794	2631.5486
189.2808	2718.2346	473.4985	2630.3855
189.4332	2720.0024	473.4285	2629.2068
189.5856	2740.8130	474.3081	2628.0408
189.7380	2744.9973	474.5279	2626.8757
189.8904	2723.9600	474.7969	2625.7019
190.0428	2652.4360	475.4398	2624.5369
190.1952	2640.0063	475.9368	2623.3875
190.3476	2691.1885	475.3130	2622.2341
190.5000	2700.0095	475.0137	2621.0916
190.6524	2777.7515	473.8961	2619.9333
190.8048	2789.9883	473.5890	2618.7703
190.9572	2694.1335	473.6688	2617.6121
191.1096	2763.2515	473.2585	2616.4587
191.2620	2774.9849	472.7627	2615.2908
191.4144	2651.1230	472.7990	2614.1287
191.5668	2635.0022	472.5580	2612.9470
191.7192	2652.8787	473.4188	2611.7722
191.8716	2681.9692	474.1659	2610.6033
192.0240	2684.9917	474.5341	2609.4255
192.1764	2616.9368	475.4535	2608.2693
192.3288	2610.0095	475.3439	2607.1140
192.4812	2687.8760	475.1219	2605.9578
192.6336	2695.0073	474.8710	2604.7976
192.7860	2755.1172	474.8564	2603.6345
192.9384	2690.2493	474.9451	2602.4753
193.0908	2685.0063	474.9710	2601.3191
193.2432	2736.6255	474.6902	2600.1619
