HOLE:	984b
LEG:	162
TOP:	119.786003
BOTTOM:	488.441589

DEPTH	RHOB	PEF	DRHO
169.1636	1.6327	3.5858	-0.0086
169.3160	1.6397	3.6320	-0.0085
169.4684	1.6500	3.7352	-0.0087
169.6208	1.6571	3.8123	-0.0090
169.7732	1.6601	3.8163	-0.0090
169.9256	1.6600	3.7819	-0.0068
170.0780	1.6636	3.7388	0.0012
170.2304	1.6812	3.7148	0.0117
170.3828	1.6961	3.6835	0.0116
170.5352	1.7044	3.6693	0.0031
170.6876	1.7009	3.6544	-0.0052
170.8400	1.6906	3.6911	-0.0062
170.9924	1.6770	3.6996	-0.0025
171.1448	1.6596	3.6822	0.0006
171.2972	1.6465	3.6519	0.0019
171.4496	1.6424	3.6625	0.0005
171.6020	1.6419	3.6542	-0.0038
171.7544	1.6405	3.5688	-0.0072
171.9068	1.6309	3.4903	-0.0087
172.0592	1.6213	3.4716	-0.0075
172.2116	1.6082	3.5400	-0.0079
172.3640	1.6042	3.6362	-0.0095
172.5164	1.6119	3.7507	-0.0118
172.6688	1.6300	3.8311	-0.0126
172.8212	1.6453	3.8574	-0.0130
172.9736	1.6455	3.8542	-0.0141
173.1260	1.6406	3.8302	-0.0116
173.2784	1.6360	3.7673	-0.0079
173.4308	1.6394	3.7012	-0.0049
173.5832	1.6495	3.6678	-0.0049
173.7356	1.6589	3.7001	-0.0087
173.8880	1.6690	3.7439	-0.0122
174.0404	1.6777	3.7613	-0.0146
174.1928	1.6867	3.7907	-0.0165
174.3452	1.6947	3.8201	-0.0172
174.4976	1.6960	3.8338	-0.0197
174.6500	1.6983	3.8188	-0.0185
174.8024	1.6987	3.8311	-0.0164
174.9548	1.6971	3.9033	-0.0160
175.1072	1.7026	3.9871	-0.0158
175.2596	1.7114	4.0156	-0.0178
175.4120	1.7202	3.9666	-0.0195
175.5644	1.7191	3.9176	-0.0216
175.7168	1.7045	3.8777	-0.0201
175.8692	1.6921	3.7841	-0.0087
176.0216	1.6836	3.6323	0.0056
176.1740	1.6748	3.4767	0.0133
176.3264	1.6531	3.3901	0.0076
176.4788	1.6288	3.3885	-0.0020
176.6312	1.6215	3.4487	-0.0033
176.7836	1.6259	3.5057	-0.0011
176.9360	1.6301	3.5118	0.0027
177.0884	1.6319	3.5154	0.0120
177.2408	1.6281	3.5538	0.0174
177.3932	1.6179	3.5991	0.0140
177.5456	1.6124	3.5641	0.0089
177.6980	1.6040	3.4672	0.0051
177.8504	1.5942	3.3616	0.0073
178.0028	1.5802	3.3282	0.0066
178.1552	1.5783	3.3950	0.0082
178.3076	1.5962	3.4835	0.0097
178.4600	1.6176	3.5512	0.0088
178.6124	1.6345	3.5705	0.0072
178.7648	1.6325	3.6103	-0.0055
178.9172	1.6336	3.6326	-0.0095
179.0696	1.6393	3.6156	-0.0087
179.2220	1.6327	3.5192	-0.0112
179.3744	1.6286	3.4147	-0.0069
179.5268	1.6297	3.4221	-0.0018
179.6792	1.6298	3.6038	-0.0034
179.8316	1.6363	3.8170	-0.0100
179.9840	1.6497	3.8978	-0.0172
180.1364	1.6713	3.8569	-0.0172
180.2888	1.6805	3.7867	-0.0177
180.4412	1.6714	3.7269	-0.0160
180.5936	1.6584	3.6920	-0.0145
180.7460	1.6451	3.7139	-0.0174
180.8984	1.6403	3.7567	-0.0232
181.0508	1.6499	3.7625	-0.0253
181.2032	1.6732	3.7564	-0.0179
181.3556	1.6912	3.7567	-0.0141
181.5080	1.6983	3.7939	-0.0127
181.6604	1.6956	3.8153	-0.0132
181.8128	1.6927	3.7963	-0.0116
181.9652	1.6861	3.6970	-0.0097
182.1176	1.6749	3.5787	-0.0074
182.2700	1.6593	3.4719	-0.0058
182.4224	1.6478	3.4829	-0.0047
182.5748	1.6497	3.5822	-0.0036
182.7272	1.6632	3.6907	-0.0056
182.8796	1.6804	3.7156	-0.0097
183.0320	1.6918	3.7628	-0.0148
183.1844	1.6941	3.8781	-0.0176
183.3368	1.6909	3.9330	-0.0143
183.4892	1.6913	3.7759	-0.0055
183.6416	1.6856	3.5891	0.0022
183.7940	1.6763	3.4724	0.0048
183.9464	1.6653	3.5343	-0.0002
184.0988	1.6629	3.6637	-0.0042
184.2512	1.6657	3.8125	-0.0088
184.4036	1.6668	3.8518	-0.0111
184.5560	1.6646	3.7388	-0.0126
184.7084	1.6508	3.6129	-0.0115
184.8608	1.6160	3.4702	-0.0096
185.0132	1.5856	3.3608	-0.0070
185.1656	1.5705	3.2422	-0.0044
185.3180	1.5789	3.2018	-0.0016
185.4704	1.5855	3.2689	-0.0001
185.6228	1.5874	3.3895	-0.0029
185.7752	1.5941	3.5099	-0.0062
185.9276	1.6104	3.5290	-0.0072
186.0800	1.6316	3.5403	-0.0013
186.2324	1.6482	3.5310	0.0005
186.3848	1.6600	3.6166	-0.0046
186.5372	1.6685	3.7191	-0.0121
186.6896	1.6625	3.8132	-0.0167
186.8420	1.6578	3.7880	-0.0117
186.9944	1.6572	3.7015	-0.0012
187.1468	1.6647	3.6278	0.0097
187.2992	1.6666	3.6236	0.0098
187.4516	1.6631	3.6351	-0.0011
187.6040	1.6610	3.5781	-0.0126
187.7564	1.6586	3.5181	-0.0191
187.9088	1.6559	3.5070	-0.0183
188.0612	1.6540	3.6096	-0.0157
188.2136	1.6552	3.7514	-0.0125
188.3660	1.6696	3.8204	-0.0103
188.5184	1.6865	3.8979	-0.0104
188.6708	1.6989	3.9292	-0.0128
188.8232	1.7057	4.0301	-0.0168
188.9756	1.7114	4.0456	-0.0214
189.1280	1.7231	4.0347	-0.0222
189.2804	1.7251	4.0249	-0.0242
189.4328	1.7153	4.0215	-0.0241
189.5852	1.7015	3.9744	-0.0247
189.7376	1.6904	3.9175	-0.0232
189.8900	1.6856	3.8907	-0.0211
190.0424	1.6744	3.8933	-0.0179
190.1948	1.6718	3.7881	-0.0060
190.3472	1.6696	3.6664	0.0036
190.4996	1.6703	3.5814	0.0150
190.6520	1.6588	3.4524	0.0154
190.8044	1.6412	3.2490	0.0129
190.9568	1.6235	3.0562	0.0110
191.1092	1.6163	3.0131	0.0154
191.2616	1.6097	3.1387	0.0147
191.4140	1.6229	3.3714	0.0145
191.5664	1.6417	3.5994	0.0124
191.7188	1.6681	3.7611	0.0093
191.8712	1.6743	3.8473	-0.0013
192.0236	1.6713	3.9347	-0.0096
192.1760	1.6649	3.9655	-0.0130
192.3284	1.6634	3.9098	-0.0124
192.4808	1.6615	3.8141	-0.0119
192.6332	1.6512	3.7248	-0.0097
192.7856	1.6413	3.6798	-0.0061
192.9380	1.6345	3.6886	-0.0027
193.0904	1.6267	3.6517	-0.0020
193.2428	1.6192	3.5615	-0.0023
193.3952	1.6089	3.4408	0.0001
193.5476	1.6040	3.4008	0.0009
193.7000	1.6061	3.4785	0.0026
193.8524	1.6135	3.6174	0.0031
194.0048	1.6230	3.6917	0.0053
194.1572	1.6188	3.6211	0.0019
194.3096	1.6132	3.5964	0.0002
194.4620	1.6006	3.5090	-0.0033
194.6144	1.5891	3.4170	-0.0030
194.7668	1.5678	3.2918	-0.0024
194.9192	1.5521	3.2509	0.0002
195.0716	1.5481	3.3134	0.0056
195.2240	1.5713	3.3707	0.0082
195.3764	1.6022	3.4106	0.0051
195.5288	1.6272	3.3979	-0.0016
195.6812	1.6433	3.4439	-0.0049
195.8336	1.6445	3.5867	-0.0073
195.9860	1.6514	3.7651	-0.0094
196.1384	1.6539	3.8137	-0.0135
196.2908	1.6594	3.7770	-0.0129
196.4432	1.6511	3.6956	-0.0094
196.5956	1.6459	3.6231	-0.0030
196.7480	1.6384	3.6057	-0.0041
196.9004	1.6383	3.5820	-0.0095
197.0528	1.6325	3.7058	-0.0195
197.2052	1.6404	3.6929	-0.0174
197.3576	1.6445	3.7837	-0.0156
197.5100	1.6475	3.7171	-0.0100
197.6624	1.6488	3.7440	-0.0063
197.8148	1.6500	3.6624	-0.0018
197.9672	1.6478	3.7082	-0.0028
198.1196	1.6393	3.7189	-0.0085
198.2720	1.6312	3.7817	-0.0157
198.4244	1.6282	3.7232	-0.0166
198.5768	1.6277	3.6755	-0.0113
198.7292	1.6233	3.6065	-0.0062
198.8816	1.6148	3.5791	-0.0066
199.0340	1.6083	3.5958	-0.0047
199.1864	1.6120	3.6613	-0.0040
199.3388	1.6111	3.7363	-0.0054
199.4912	1.6139	3.7578	-0.0119
199.6436	1.6205	3.7598	-0.0102
199.7960	1.6326	3.7681	-0.0058
199.9484	1.6453	3.7617	0.0047
200.1008	1.6546	3.6714	0.0107
200.2532	1.6592	3.4573	0.0136
200.4056	1.6539	3.2725	0.0162
200.5580	1.6324	3.2024	0.0102
200.7104	1.6150	3.2786	0.0060
200.8628	1.6190	3.4607	0.0086
201.0152	1.6543	3.6477	0.0095
201.1676	1.6914	3.7963	0.0068
201.3200	1.7150	3.8788	-0.0028
201.4724	1.7165	3.9519	-0.0087
201.6248	1.7198	4.0511	-0.0122
201.7772	1.7327	4.0365	-0.0092
201.9296	1.7347	3.9810	-0.0054
202.0820	1.7225	3.8637	-0.0010
202.2344	1.7026	3.8692	-0.0026
202.3868	1.6920	3.8921	-0.0045
202.5392	1.6886	3.8341	-0.0036
202.6916	1.6847	3.8004	-0.0028
202.8440	1.6758	3.7482	-0.0001
202.9964	1.6642	3.7418	-0.0013
203.1488	1.6539	3.6616	-0.0013
203.3012	1.6386	3.5845	-0.0021
203.4536	1.6321	3.5509	-0.0007
203.6060	1.6274	3.6412	-0.0011
203.7584	1.6382	3.7599	0.0005
203.9108	1.6387	3.8910	-0.0070
204.0632	1.6492	3.9308	-0.0076
204.2156	1.6512	3.9496	-0.0114
204.3680	1.6588	3.8872	-0.0087
204.5204	1.6586	3.7973	-0.0101
