HOLE:	984b
LEG:	162
TOP:	98.145599
BOTTOM:	502.462799

DEPTH	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
123.4440	26.7024	14.1688	1.9671	1.4160	0.4363	47.1875	18.5469	4.3906	0.8822	0.0000
123.5964	25.7557	14.4718	1.9060	1.2748	0.4660	50.1094	17.5449	3.9634	1.9824	0.5674
123.7488	25.6481	15.2802	1.8588	1.1713	0.5225	51.1797	21.0000	5.5547	0.7793	0.8675
123.9012	26.4970	16.3064	1.8294	1.1513	0.5880	46.9648	19.8789	5.5635	0.6133	0.2686
124.0536	27.3291	18.2226	2.0146	1.0288	0.6630	49.5898	22.8672	8.3906	0.2627	1.8594
124.2060	28.3879	20.3581	2.3228	0.9072	0.7264	56.8047	22.8223	6.5703	0.6260	0.7676
124.3584	29.1105	22.0886	2.6602	0.7933	0.7605	55.9805	20.8027	4.6641	0.8828	1.8984
124.5108	30.4603	22.8033	2.7987	0.8650	0.7748	55.9883	25.4063	6.3281	0.8824	2.0088
124.6632	32.7023	23.5444	2.9027	1.0346	0.7974	62.2656	27.9941	5.1191	2.1719	1.1182
124.8156	32.0819	22.9504	2.8367	1.0316	0.7758	62.4883	27.5977	8.9766	1.3457	1.5342
124.9680	31.7967	23.6770	3.0143	0.9173	0.7831	57.1484	18.7969	7.3008	0.8821	0.4512
125.1204	30.4041	24.2973	3.1503	0.6899	0.7923	64.9063	21.2109	10.1719	0.2178	0.6650
125.2728	30.9139	25.6661	3.3479	0.5929	0.8329	61.9141	20.9316	6.7813	1.3398	0.2119
125.4252	31.2451	26.6530	3.4506	0.5188	0.8701	59.3154	17.5859	10.0313	1.7644	1.3516
125.5776	32.4027	27.6978	3.5463	0.5315	0.9120	56.6094	32.2031	9.6914	1.6898	1.6898
125.7300	34.6058	29.6815	3.7330	0.5563	0.9907	61.8516	28.0156	9.5889	0.3652	3.8105
125.8824	34.5070	29.6241	3.5969	0.5516	1.0142	82.3438	22.1211	4.8438	1.3906	1.6328
126.0348	33.9668	29.2702	3.4468	0.5306	1.0233	65.5938	30.1875	4.6992	1.6869	0.8434
126.1872	32.3654	28.7874	3.3099	0.4042	1.0222	62.1621	26.9766	7.3633	1.7465	0.8732
126.3396	30.7221	28.4074	3.2277	0.2615	1.0163	67.9141	22.4102	8.2573	1.0107	0.8425
126.4920	29.4006	28.5485	3.2256	0.0963	1.0250	61.6641	19.0977	8.7319	0.1523	1.5947
126.6444	27.0489	26.6633	3.0135	0.0436	0.9571	56.3555	24.3438	6.6426	1.4551	2.4912
126.7968	26.0861	25.5873	2.9511	0.0564	0.9068	53.0156	16.7734	7.9727	0.9893	1.1387
126.9492	26.3504	25.3063	2.9452	0.1180	0.8916	52.9023	17.2324	8.7500	1.6152	0.8750
127.1016	27.2478	25.8636	2.9455	0.1564	0.9240	61.7344	21.0469	7.7051	0.9775	0.8410
127.2540	28.3023	25.3895	2.7526	0.3291	0.9345	59.8164	16.6953	10.3516	0.1221	0.8339
127.4064	28.4488	23.5506	2.3898	0.5534	0.8991	58.3428	24.2186	7.5860	0.0000	0.1163
127.5588	27.5766	21.3742	2.0816	0.7007	0.8333	58.9883	22.5235	7.8232	0.0000	0.7647
127.7112	27.1964	21.4981	2.0309	0.6438	0.8505	42.8918	22.8268	7.9398	0.7714	1.6543
127.8636	26.9198	22.0613	2.0480	0.5489	0.8800	62.1262	17.3981	3.8748	0.1045	1.6781
128.0160	29.4108	23.4745	2.0896	0.6706	0.9540	57.4615	20.6875	8.2148	0.0000	0.9707
128.1684	31.8609	23.7372	2.0075	0.9178	0.9856	66.7973	21.1920	7.2480	0.0000	0.8830
128.3208	32.4141	21.9582	1.7656	1.1812	0.9298	74.3269	20.1154	6.7050	0.7521	0.8381
128.4732	32.0120	20.4962	1.6049	1.3010	0.8764	54.9221	23.4766	4.6134	2.4842	0.8778
128.6256	31.9969	18.9145	1.4399	1.4779	0.8169	57.7656	24.6203	6.8383	0.2168	0.0723
128.7780	33.2075	19.0222	1.4903	1.6026	0.8132	56.6388	27.9883	12.7730	0.8165	0.0000
128.9304	34.4156	19.2385	1.6324	1.7146	0.7977	58.9844	27.5520	5.5625	2.3886	0.7763
129.0828	35.4481	19.3684	1.8342	1.8166	0.7654	59.9918	30.6989	6.1095	1.8096	0.0499
129.2352	34.0476	18.2949	1.8502	1.7796	0.6997	69.1785	25.8709	8.6799	1.7644	1.6699
129.3876	33.8747	17.0764	1.7130	1.8977	0.6559	49.5007	23.0607	11.3455	0.0840	0.9238
129.5400	33.2523	16.3899	1.6225	1.9050	0.6338	61.2972	26.3477	8.0820	0.8477	0.0342
129.6924	34.1002	16.1914	1.6056	2.0232	0.6256	66.0852	27.3446	7.9470	1.7374	0.0001
129.8448	31.6355	14.0351	1.4551	1.9884	0.5297	53.6556	25.8729	8.3235	2.4815	1.6229
