HOLE:	984b
LEG:	162
TOP:	87.934799
BOTTOM:	497.890808

DEPTH	IDPH	IMPH	SFLU
146.3040	0.4941	0.5107	0.4690
146.4564	0.5017	0.5182	0.4733
146.6088	0.5075	0.5259	0.4754
146.7612	0.5100	0.5333	0.4723
146.9136	0.5178	0.5404	0.4760
147.0660	0.5215	0.5471	0.4906
147.2184	0.5216	0.5514	0.5118
147.3708	0.5191	0.5510	0.5124
147.5232	0.5121	0.5450	0.5049
147.6756	0.5079	0.5350	0.4972
147.8280	0.5004	0.5231	0.4828
147.9804	0.4871	0.5107	0.4712
148.1328	0.4824	0.4993	0.4715
148.2852	0.4807	0.4904	0.4472
148.4376	0.4812	0.4860	0.4330
148.5900	0.4814	0.4876	0.4327
148.7424	0.4817	0.4949	0.4438
148.8948	0.4895	0.5058	0.4749
149.0472	0.4933	0.5172	0.4806
149.1996	0.4941	0.5260	0.4962
149.3520	0.4972	0.5297	0.5022
149.5044	0.4979	0.5280	0.5058
149.6568	0.4971	0.5228	0.4999
149.8092	0.4973	0.5163	0.4597
149.9616	0.4942	0.5104	0.4566
150.1140	0.4890	0.5063	0.4564
150.2664	0.4892	0.5044	0.4656
150.4188	0.4900	0.5051	0.4700
150.5712	0.4977	0.5079	0.4660
150.7236	0.4985	0.5122	0.4645
150.8760	0.5004	0.5179	0.4615
151.0284	0.5138	0.5264	0.4721
151.1808	0.5201	0.5381	0.4573
151.3332	0.5202	0.5509	0.4715
151.4856	0.5243	0.5604	0.5445
151.6380	0.5259	0.5625	0.5573
151.7904	0.5261	0.5572	0.5558
151.9428	0.5257	0.5476	0.4967
152.0952	0.5137	0.5371	0.4846
152.2476	0.5152	0.5282	0.4848
152.4000	0.5150	0.5224	0.4703
152.5524	0.5127	0.5211	0.4613
152.7048	0.5134	0.5245	0.4608
152.8572	0.5145	0.5325	0.4678
153.0096	0.5288	0.5446	0.5264
153.1620	0.5316	0.5593	0.5191
153.3144	0.5346	0.5733	0.5257
153.4668	0.5417	0.5819	0.5745
153.6192	0.5442	0.5818	0.5812
153.7716	0.5446	0.5741	0.5719
153.9240	0.5444	0.5631	0.4903
154.0764	0.5423	0.5535	0.4813
154.2288	0.5316	0.5469	0.4824
154.3812	0.5283	0.5434	0.4879
154.5336	0.5266	0.5419	0.4954
154.6860	0.5223	0.5416	0.5034
154.8384	0.5191	0.5416	0.5040
154.9908	0.5183	0.5414	0.5082
155.1432	0.5169	0.5400	0.4959
155.2956	0.5171	0.5373	0.4872
155.4480	0.5172	0.5341	0.4853
155.6004	0.5183	0.5324	0.4714
155.7528	0.5210	0.5340	0.4798
155.9052	0.5219	0.5389	0.4788
156.0576	0.5224	0.5454	0.4949
156.2100	0.5231	0.5504	0.5117
156.3624	0.5249	0.5521	0.5114
156.5148	0.5253	0.5500	0.5083
156.6672	0.5244	0.5453	0.5011
156.8196	0.5232	0.5398	0.4995
