Leg 162,  Site 984, Core data type SUSCEPTIBILITY,  Log data type SUMT,
Data repicked to log depth
Linear Equation;  y = 0.139x + 78.998
       ELD      SmCore  SmLog
B     99.57    333.12   2129.50
B     99.72    309.56   2149.70
B     99.87    319.06   2318.70
B    100.02    370.14   2384.00
B    100.18    434.03   2478.20
B    100.33    485.79   2830.80
B    100.48    521.41   3249.60
B    100.63    544.28   3511.80
B    100.79    577.22   3873.20
B    100.94    610.87   3774.70
B    101.09    635.60   3745.80
B    101.24    635.47   3903.50
B    101.40    636.58   4188.90
B    101.55    647.88   4489.40
B    101.70    662.74   4541.20
B    101.85    660.71   4605.90
B    102.01    785.40   4562.30
B    102.16    749.51   4419.80
B    102.31    688.14   4379.60
B    102.46    629.78   4376.40
B    102.62    567.53   3968.60
B    102.77    509.17   3511.60
B    102.92    450.81   3538.30
B    103.07    395.79   3602.70
B    103.23    487.81   3475.10
B    103.38    561.21   3283.70
B    103.53    652.49   3131.70
B    103.68    603.25   3206.50
B    103.83    573.13   3349.40
B    103.99    516.51   2851.20
B    104.14    459.07   2427.10
B    104.29    411.93   2419.40
B    104.44    381.86   2325.30
B    104.60    367.28   2165.00
B    104.75    366.92   2104.80
B    104.90    375.75   2318.20
B    105.05    389.62   2397.40
B    105.21    409.26   2579.60
B    105.36    429.16   2669.30
B    105.51    449.90   2645.20
B    105.66    463.57   2575.10
B    105.82    458.85   2710.00
B    105.97    437.58   2652.10
B    106.12    415.19   2505.20
B    106.27    403.56   2412.30
B    106.42    396.71   2184.70
B    106.58    375.42   2061.00
B    106.73    344.69   2290.00
B    106.88    328.61   2226.40
B    107.03    344.76   2253.20
B    107.19    399.52   2236.70
B    107.34    454.49   2392.90
B    107.49    485.27   2881.70
B    107.64    482.08   3133.60
B    107.80    464.77   2788.80
B    107.95    451.31   2560.00
B    108.10    435.52   2496.00
B    108.25    409.91   2416.30
B    108.41    373.82   2136.60
B    108.56    346.31   1986.70
B    108.71    330.84   2124.60
B    108.86    332.96   2170.70
B    109.02    357.46   2199.00
B    109.17    392.60   2125.60
B    109.32    426.27   2314.90
B    109.47    442.73   2565.40
B    109.63    441.08   2401.60
B    109.78    422.72   1904.70
B    109.93    386.54   1806.40
B    110.08    333.00   1841.00
B    110.24    280.80   1905.40
B    110.39    273.24   1724.40
B    110.54    316.74   1555.20
B    110.69    384.04   1836.70
B    110.85    446.44   2176.80
B    111.00    483.55   2829.40
B    111.15    507.22   3158.40
B    111.30    523.81   3325.60
B    111.45    537.62   3314.70
B    111.61    547.36   3276.70
B    111.76    584.42   3392.00
B    111.91    583.42   3425.10
B    112.06    484.58   3326.30
B    112.22    424.76   3109.10
