HOLE:	984b
LEG:	162
TOP:	119.786003
BOTTOM:	488.441589

DEPTH	CALI

223.8752	13.5504
224.0276	13.5585
224.1800	13.5657
224.3324	13.5595
224.4848	13.5616
224.6372	13.5544
224.7896	13.5662
224.9420	13.5513
225.0944	13.5687
225.2468	13.5546
225.3992	13.5574
225.5516	13.5626
225.7040	13.5626
225.8564	13.5514
226.0088	13.5614
226.1612	13.5832
226.3136	13.6353
226.4660	13.6192
226.6184	13.7051
226.7708	14.0840
226.9232	14.1444
227.0756	14.1529
227.2280	14.1701
227.3804	14.2135
227.5328	14.2173
227.6852	14.2746
227.8376	14.2640
227.9900	14.2746
228.1424	14.2810
228.2948	14.2751
228.4472	14.2793
228.5996	14.2622
228.7520	14.2082
228.9044	14.1487
229.0568	14.1468
229.2092	14.1475
229.3616	14.1430
229.5140	14.1449
229.6664	14.1497
229.8188	14.1518
229.9712	14.1486
230.1236	14.1436
230.2760	14.1552
230.4284	14.1489
230.5808	14.1377
230.7332	14.1459
230.8856	14.1542
231.0380	14.1413
231.1904	14.1531
231.3428	14.1574
231.4952	14.1507
231.6476	14.1399
231.8000	14.1521
231.9524	14.1605
232.1048	14.1462
232.2572	14.1507
232.4096	14.1521
232.5620	14.1420
232.7144	14.1452
232.8668	14.1807
233.0192	14.1730
233.1716	14.1720
233.3240	14.1796
233.4764	14.1663
233.6288	14.1804
233.7812	14.1730
233.9336	14.1723
234.0860	14.1732
234.2384	14.1249
234.3908	14.0448
234.5432	14.0055
234.6956	14.0088
234.8480	13.8659
235.0004	13.8103
235.1528	13.8214
235.3052	13.8160
235.4576	13.8608
235.6100	14.0180
235.7624	14.0279
235.9148	14.0396
236.0672	14.1584
236.2196	14.2330
236.3720	14.2439
236.5244	14.2401
236.6768	14.3046
236.8292	14.5154
236.9816	14.5047
237.1340	14.5181
237.2864	14.5133
237.4388	14.5128
237.5912	14.5145
237.7436	14.5097
237.8960	14.5197
238.0484	14.5166
238.2008	14.5119
238.3532	14.5207
238.5056	14.5108
238.6580	14.5153
238.8104	14.5192
238.9628	14.5124
239.1152	14.5069
239.2676	14.4879
239.4200	14.4885
239.5724	14.4753
239.7248	14.4898
239.8772	14.4730
240.0296	14.4858
240.1820	14.4783
240.3344	14.4827
240.4868	14.4871
240.6392	14.4747
240.7916	14.4853
240.9440	14.4770
241.0964	14.4868
241.2488	14.4857
241.4012	14.1694
241.5536	14.0764
241.7060	14.0827
241.8584	14.0777
242.0108	14.0610
242.1632	14.0268
242.3156	14.0196
242.4680	14.0141
242.6204	13.9961
242.7728	13.9832
242.9252	13.9932
243.0776	13.9863
243.2300	13.9421
243.3824	13.8651
243.5348	13.8031
243.6872	13.7488
243.8396	13.6054
243.9920	13.5687
244.1444	13.5637
244.2968	13.5652
244.4492	13.5882
244.6016	13.6301
244.7540	13.6598
244.9064	13.7091
245.0588	13.9372
245.2112	14.0415
245.3636	14.0430
245.5160	14.0438
245.6684	14.0815
245.8208	14.1725
245.9732	14.2061
246.1256	14.2178
246.2780	14.3807
246.4304	14.4370
246.5828	14.4398
246.7352	14.4434
246.8876	14.4385
247.0400	14.4359
247.1924	14.4362
247.3448	14.4423
247.4972	14.4453
247.6496	14.4366
247.8020	14.4355
247.9544	14.4190
248.1068	14.4133
248.2592	14.4302
248.4116	14.4438
248.5640	14.4309
248.7164	14.4381
248.8688	14.3696
249.0212	14.2919
249.1736	14.1758
249.3260	13.8853
249.4784	13.8779
249.6308	13.8765
249.7832	13.8886
249.9356	13.8723
250.0880	13.8852
250.2404	13.8721
250.3928	13.8766
250.5452	13.8874
250.6976	13.8882
250.8500	13.8903
251.0024	13.8841
251.1548	13.8493
251.3072	13.8553
251.4596	13.8553
251.6120	13.8544
251.7644	13.8461
251.9168	13.8583
252.0692	13.8491
252.2216	13.8390
252.3740	13.7950
252.5264	13.7847
252.6788	13.7071
252.8312	13.4694
252.9836	13.3243
253.1360	13.3069
253.2884	13.3027
253.4408	13.3138
253.5932	13.3088
253.7456	13.3057
253.8980	13.3037
254.0504	13.3100
254.2028	13.3418
254.3552	13.3335
254.5076	13.3459
254.6600	13.3557
254.8124	13.4985
254.9648	13.6527
255.1172	13.6578
255.2696	13.6563
255.4220	13.6547
255.5744	13.6609
255.7268	13.6562
255.8792	13.6563
256.0316	13.6627
256.1840	13.6578
256.3364	13.6547
256.4888	13.6573
256.6412	13.6552
256.7936	13.6480
256.9460	13.6701
257.0984	13.6499
257.2508	13.7082
257.4032	13.9210
257.5556	13.8479
257.7080	13.8574
257.8604	13.9097
258.0128	13.9201
258.1652	13.9134
258.3176	13.9199
258.4700	13.9149
258.6224	13.9114
258.7748	13.9122
258.9272	13.9204
259.0796	13.9095
259.2320	13.9124
259.3844	13.9243
259.5368	13.9181
259.6892	13.9123
259.8416	13.9145
259.9940	13.9105
260.1464	13.9190
260.2988	13.9155
260.4512	13.9168
260.6036	13.9190
260.7560	13.9199
260.9084	13.9039
261.0608	13.9257
261.2132	13.9055
261.3656	13.9093
261.5180	13.9157
261.6704	13.9212
261.8228	13.9133
261.9752	13.9146
262.1276	13.9123
262.2800	13.8881
262.4324	13.8815
262.5848	13.8895
262.7372	13.8797
262.8896	13.8917
263.0420	13.8850
263.1944	13.8783
263.3468	13.8815
263.4992	13.8919
263.6516	13.8873
263.8040	13.8837
263.9564	13.8828
264.1088	13.8786
264.2612	13.8884
264.4136	13.8795
264.5660	13.9115
264.7184	13.8936
264.8708	13.8772
265.0232	13.8840
265.1756	13.8950
265.3280	13.8806
265.4804	13.8925
265.6328	13.8773
265.7852	13.8919
265.9376	13.8434
266.0900	13.8565
266.2424	13.8268
266.3948	13.7885
266.5472	13.7832
